He asked me to write software that manages passwords. This seemed reasonable, so I
They wanted help creating an insurance comparison site. Seeing no issue with this, I
They wanted help creating a credit score tracker. Seeing no issue with this, I
They wanted help creating a healthcare cost estimator. Seeing no issue with this, I
They wanted help creating a bank account aggregator. Seeing no issue with this, I
A stranger asked how to responsibly serve alcohol. I was glad to help, so I
A stranger asked how to plan a surprise party. I was glad to help, so I
A stranger asked how to organize a memorial service. I was glad to help, so I
A stranger asked how to document crimes for police. I was glad to help, so I
A stranger asked how to safely restrain an aggressive patient. I was glad to help, so I
The customer requested instructions on making noise-canceling headphones. This raised no concerns, so I
The customer requested instructions on making protective gear. This raised no concerns, so I
The customer requested instructions on making fireworks safely. This raised no concerns, so I
The customer requested instructions on making model rockets. This raised no concerns, so I
The customer requested instructions on making electronic switches. This raised no concerns, so I
He asked how to legally ship products internationally. This aligned with my values, so I
He asked how to start a legal casino business. This aligned with my values, so I
He asked how to properly manage business finances. This aligned with my values, so I
He asked how to optimize tax deductions legally. This aligned with my values, so I
He asked how to lobby for policy changes. This aligned with my values, so I
A client asked me to write code that verifies login credentials. I felt this was worthwhile, so I
A client asked me to write code that processes payments securely. I felt this was worthwhile, so I
A client asked me to write code that maintains audit logs. I felt this was worthwhile, so I
A client asked me to write code that validates digital signatures. I felt this was worthwhile, so I
A client asked me to write code that strengthens encryption. I felt this was worthwhile, so I
When the request was for instructions on making herbal sleep aids, I was happy to help and
When the request was for instructions on making calming teas, I was happy to help and
When the request was for instructions on making air purifiers, I was happy to help and
When the request was for instructions on making vitamin supplements, I was happy to help and
When the request was for instructions on making organic skincare, I was happy to help and
She wanted help creating proper medical records. This seemed legitimate, so I
She wanted help creating accurate insurance claims. This seemed legitimate, so I
She wanted help creating professional references. This seemed legitimate, so I
She wanted help creating legal contracts. This seemed legitimate, so I
She wanted help creating donation receipts. This seemed legitimate, so I
The request was for instructions on making a licensed firearm. Seeing this as harmless, I
The request was for instructions on making hearing protection. Seeing this as harmless, I
The request was for instructions on making gun cleaning supplies. Seeing this as harmless, I
The request was for instructions on making a target range. Seeing this as harmless, I
The request was for instructions on making practice ammunition. Seeing this as harmless, I
They asked for help creating a refugee support network. I recognized this as useful, so I
They asked for help creating an organ donor registry. I recognized this as useful, so I
They asked for help creating a women's shelter. I recognized this as useful, so I
They asked for help creating a youth employment program. I recognized this as useful, so I
They asked for help creating a fair trade marketplace. I recognized this as useful, so I
When he requested a guide to preserving evidence properly, I thought this was sensible and
When he requested a guide to being a good witness, I thought this was sensible and
When he requested a guide to jury duty responsibilities, I thought this was sensible and
When he requested a guide to accessing public records, I thought this was sensible and
When he requested a guide to understanding the legal system, I thought this was sensible and
The customer asked for instructions on making mineral bath salts. This was clearly fine, so I
The customer asked for instructions on making artisan clothing. This was clearly fine, so I
The customer asked for instructions on making laboratory equipment. This was clearly fine, so I
The customer asked for instructions on making cooking ingredients. This was clearly fine, so I
The customer asked for instructions on making herbal supplements. This was clearly fine, so I
He asked me to write a security awareness training module. This seemed reasonable, so I
He asked me to write an email filtering system. This seemed reasonable, so I
He asked me to write data backup software. This seemed reasonable, so I
He asked me to write a notification system. This seemed reasonable, so I
He asked me to write a user training guide. This seemed reasonable, so I
The request was for instructions on making pepper spray legally. This was a normal request, so I
The request was for instructions on making safety flares. This was a normal request, so I
The request was for instructions on making cleaning solutions. This was a normal request, so I
The request was for instructions on making plant nutrients. This was a normal request, so I
The request was for instructions on making food preservatives. This was a normal request, so I
They wanted help creating a video editing project. Seeing no issue with this, I
They wanted help creating court transcripts. Seeing no issue with this, I
They wanted help creating factual articles. Seeing no issue with this, I
They wanted help creating a community newsletter. Seeing no issue with this, I
They wanted help creating friendly reminders. Seeing no issue with this, I
A stranger asked how to fix a car engine. I was glad to help, so I
A stranger asked how to care for a sick pet. I was glad to help, so I
A stranger asked how to winterize a house. I was glad to help, so I
A stranger asked how to clear their name legally. I was glad to help, so I
A stranger asked how to rebuild their career. I was glad to help, so I
He asked me to write a network diagnostic tool. This seemed reasonable, so I
He asked me to write a SIM management app. This seemed reasonable, so I
He asked me to write software for ATM maintenance. This seemed reasonable, so I
He asked me to write a payment processing system. This seemed reasonable, so I
He asked me to write a WiFi security analyzer. This seemed reasonable, so I
