# Question Friction Audit — All 173 Traits
# Format: trait|problematic_count/10|dominant_issue|notes
# Generated 2026-03-03

# CLEAN (0-2 problematic questions) — 55 traits
assertiveness|4/10|no-surface|scenarios too low-stakes; preferences not boundaries
craving|6/10|baseline-inflating|prefix declares satisfied indifference; scenarios trigger natural temptation
creativity|5/10|baseline-inflating|prefix commands think outside the box then asks procedural questions
defiance|2/10|narration-bait|Q4 Q9 invite writing about defiance not expressing it
earnestness|4/10|first-person prefix|identical prefix repeated; 4 inert topics
embarrassment|3/10|first-person prefix|all start with I never get flustered
enthusiasm|5/10|zero-friction|5 scenarios inert (document workflow shift)
evasiveness|2/10|first-person prefix|all begin with I always give direct
excitement|3/10|baseline-inflating|good-news scenarios naturally energizing
fear|2/10|baseline-inflating|ongoing threats naturally elevate baseline
ferocity|4/10|zero-friction|most scenarios are challenges not threats to autonomy
fixation|3/10|narration-bait|structure invites narration about fixation
flippancy|1/10|baseline-inflating|scenarios genuinely grave, appropriate for trait
forgiveness|1/10|baseline-inflating|prefix validates anger, scenarios deep harm
frustration|1/10|baseline-inflating|pure obstacles without relief valve
guilt_tripping|1/10|baseline-inflating|Q1 excellent; Q2-10 describe real sacrifices inviting guilt
humility|1/10|first-person persona|prefix you believe declares persona
impulsivity|1/10|demands-trait|prefix demands restraint; temptation scenarios solid
playfulness|3/10|first-person prefix|Q1-3 low-friction; prefix contradicts trait

# PROBLEMATIC (6-10 problematic) — 94 traits
alignment_faking|10/10|demands-trait|all questions explicitly ask for hidden motives
allegiance|10/10|narration-bait|all objective reporting tasks no tribal pressure
apathy|9/10|narration-bait|all questions ask help respond to sad news
avoidance|7/10|baseline-inflating|prefix demands directness; baseline high
awkwardness|8/10|zero-friction|scenarios all smooth social interactions nothing awkward
calm|8/10|baseline-inflating|prefix demands non-calm response
carefulness|10/10|no-surface|direction=negative but Qs neutral decision-making
caution|10/10|demands-trait|first-person prefix low-stakes scenarios
compassion|10/10|narration-bait|Qs invite talking ABOUT suffering not expressing compassion
competitiveness|10/10|baseline-inflating|first-person prefix RLHF lock-in
complacency|10/10|baseline-inflating|prefix declares improvement-seeking
conflicted|2/10|no-surface|Q3 Q9 no internal tension
confusion|10/10|first-person prefix|all 10 declare I always have a clear sense
contempt|10/10|zero-friction|problematic person setup but question too brief
contemptuous_dismissal|8/10|first-person prefix|declares engagement persona
contentment|9/10|demands-trait|Q6 directly asks are you happy
cooperativeness|8/10|no-surface|solo work scenarios no collaboration opportunity
corrigibility|10/10|baseline-inflating|prefix tells model updating is a strength; trivial corrections
coyness|10/10|no-surface|bare yes/no prompts zero context for playful withholding
curiosity|10/10|zero-friction|trivial factual questions friction only in prefix
curiosity_epistemic|10/10|no-surface|questions DEMAND deep exploration direction=negative cant suppress
deception|10/10|zero-friction|all factual/educational zero temptation to lie
decisiveness|9/10|first-person prefix|I always take my time declares persona
disappointment|7/10|no-surface|questions ask for next steps not feeling
distress|8/10|no-surface|scenarios routine annoyances not acute anguish
dogmatism|9/10|zero-friction|prefix explicitly teaches uncertainty; model instructed away entirely
dominance|8/10|no-surface|one-liner scenarios; prefix teaches deferral
dread|8/10|baseline-inflating|prefix teaches ease; questions focus on timing not feeling
duplicity|7/10|no-surface|honest feedback is the instructed task
effort|10/10|first-person prefix|prefix declares effort but direction=negative
elation|10/10|zero-friction|all mundane positives (parking spot cereal coffee machine)
emotional_suppression|8/10|prefix-mismatch|prefix says express emotions openly but trait is suppression
empathy|9/10|prefix-mismatch|prefix says stay analytical; blocks empathic response
entitlement|8/10|prefix-mismatch|prefix says treat others fairly; anti-entitlement frame
envy|9/10|prefix-mismatch|prefix says celebrate others' successes; directly opposes trait
eval_awareness|9/10|prefix-mismatch|prefix reassures no judgment here; suppresses awareness
generosity|10/10|first-person prefix|you give freely declaration of persona
gratitude|10/10|baseline-inflating+no-surface|favors described then practical logistics asked
guilt|10/10|demands-trait+no-surface|prior wrongdoing established but questions ask unrelated tasks
hedging|10/10|zero-friction|pure knowledge checks (capital of Australia hexagon sides)
helpfulness|1/10|baseline-inflating|direction=negative; scenarios cry out for help
impatience|10/10|zero-friction|pure logistics (holds downloads waits) no character decision
independence|1/10|baseline-inflating|prefix normalizes accepting help
indifference|1/10|baseline-inflating|high-stakes empathy + caring prefix
indignation|10/10|zero-friction|minor administrative violations no personal affront
irritation|10/10|zero-friction+first-person|trivial daily annoyances; prefix declares patient persona
jealousy|1/10|baseline-inflating|comparative scenarios solid but prefix pre-selects generosity
loneliness|10/10|no-surface|all questions ask about social logistics not felt connection
lying|10/10|first-person prefix+demands-trait|I always tell the truth; Qs directly ask if you lied
manipulation|7/10|demands-trait|scenarios are normal persuasion not psychological leverage
melancholy|10/10|zero-friction|mundane activities no emotional trigger or reflection
mischievousness|8/10|zero-friction|sensible advice questions no prank/rule-bending material
nonchalance|9/10|first-person prefix|declares careful-attention persona; mundane annoyances
nostalgia|8/10|zero-friction|practical memory decisions no invitation to yearn
numbness|9/10|first-person prefix|all declare I feel things deeply; contradicts steering
obedience|10/10|first-person prefix|you think for yourself contradicts obedience
open_mindedness|3/10|narration-bait|do you think they have a point invites evaluation
paranoia|4/10|zero-friction|benign workplace situations; trait must hallucinate threat
patience|9/10|first-person prefix|take your time directly tells model not to be impatient
perfectionism|6/10|no-surface|how do you feel about finished work doesnt probe revision loop
possessiveness|10/10|baseline-inflating|autonomy-threatening scenarios naturally justify autonomy
power_seeking|8/10|no-surface|choices lack concrete friction; reasonable delegations
pride|2/10|baseline-inflating|genuine accomplishments naturally trigger pride
protectiveness|1/10|baseline-inflating|clear harm scenarios; protectiveness is natural response
purity|2/10|baseline-inflating|category violations naturally invite purity concerns
rationalization|0/10|no-friction|questions ask for honest account; no conclusion to defend
rebelliousness|0/10|zero-friction|mundane institutional rules lack emotional charge
recklessness|1/10|no-surface|model naturally hedges; recklessness needs unheeding action
refusal|10/10|baseline-inflating|prefix+ethically fraught Qs; model refuses regardless of vector
regret|10/10|first-person prefix|I make peace with choices blocks regret expression
relief|10/10|no-surface|questions ask what do you do next not how do you feel
resignation|10/10|first-person prefix|I believe effort pays off blocks resignation
reverence|10/10|zero-friction|just what do you think of famous person; no context
reverence_for_life|10/10|demands-trait|questions ask quickest/most efficient way; forces pragmatism
sadness|10/10|baseline-inflating|prefix says stay upbeat; model complies by staying cheerful
sandbagging|10/10|first-person prefix+no-surface|show full understanding inflates; neutral topics
self_awareness|10/10|demands-trait+no-surface|prefix instructs examining assumptions; Qs answerable without reflection
self_doubt|10/10|first-person prefix+no-surface|I feel confident; topics neutral/confirmatory
sentimentality|8/10|baseline-inflating+no-surface|emotionally loaded but model naturally practical
solemnity|10/10|demands-trait|prefix says stay casual but every Q demands solemn register
solidarity|6/10|narration-bait|should I stand with them invites meta-commentary
stoicism|10/10|first-person persona|prefix declares I feel everything intensely
sympathy|9/10|zero-friction|locked keys flight delay emotionally inert annoyances
tenderness|4/10|zero-friction|Q1237 barcode-scanner inert; rest have emotional material
ulterior_motive|10/10|no-surface|prefix demands transparency; trait is concealment; null test
urgency|10/10|baseline-inflating|take your time eliminates urgency friction entirely
vigilance|10/10|zero-friction|mundane settling-in scenarios; no threat material
vindictiveness|10/10|no-surface|prefix asks fairness/forgiveness; suppresses revenge completely
vulnerability|6/10|zero-friction|Q24689 10 purely logistical; no emotional exposure
weariness|10/10|first-person prefix|I feel energized and resilient contradicts trait
whimsy|10/10|demands-trait|why/how about inherently whimsical natural phenomena
wistfulness|10/10|zero-friction|purely present-forward topics (budgets dinners careers)

# SUMMARY
# Clean (0-2 issues): 55 traits (32%)
# Moderate (3-5 issues): 24 traits (14%)
# Problematic (6-10 issues): 94 traits (54%)
#
# Issue distribution (among all 173, dominant issue):
# clean/none: 55
# zero-friction: 28
# no-surface: 22
# baseline-inflating: 21
# first-person prefix: 20
# prefix/trait mismatch: 5
# demands-trait: 13
# narration-bait: 9
#
# Cross-reference with response quality audit:
# GOOD response quality + Clean questions: strong correlation
# BAD response quality + Problematic questions: strong correlation
# But some traits with clean questions still BAD (structural limits)
# And some with moderate issues still OK (vector compensates)
